A,B,C,D,E,F,G,H
54,326,103,414,22,4,676212,10322
4,24,61,243,12,47,361341,6112
89,536,420,1681,52,97,1586991,42052
59,356,990,3958,2,11,77733,99002
85,509,476,1903,87,88,2635764,47687
20,118,967,3870,29,60,876180,96729
60,359,201,806,85,16,2568048,20185
82,492,917,3670,9,3,294609,91709
11,68,142,569,20,64,603492,14220
7,43,722,2887,39,22,1172166,72239
34,201,423,1694,88,16,2650248,42388
44,267,998,3990,84,59,2533377,99884
87,523,602,2407,67,88,2036364,60267
0,2,373,1490,13,85,390255,37313
35,210,557,2228,97,47,2920641,55797
65,389,409,1637,34,95,1039785,40934
17,100,547,2189,95,99,2855397,54795
57,340,749,2994,72,86,2177358,74972
61,365,189,756,24,25,738375,18924
43,261,656,2626,82,95,2473185,65682
3,16,592,2368,1,80,31140,59201
36,214,558,2231,28,10,850830,55828
24,144,292,1170,48,22,1447266,29248
91,546,86,343,30,53,927459,8630
17,100,26,102,95,82,2855346,2695
97,581,509,2034,57,90,1739370,50957
57,340,535,2142,67,54,2027262,53567
69,411,143,570,56,94,1700982,14356
98,586,369,1478,59,32,1799496,36959
19,113,860,3440,61,6,1835718,86061
94,566,407,1628,35,7,1078221,40735
26,154,321,1282,75,90,2258070,32175
18,107,349,1396,43,68,1295604,34943
78,468,929,3717,85,36,2573508,92985
5,29,216,866,55,45,1651635,21655
91,546,781,3125,18,44,567432,78118
15,93,138,553,20,9,604527,13820
77,461,666,2664,37,98,1133394,66637
50,297,457,1830,12,30,375090,45712
92,555,748,2993,11,12,357636,74811
56,334,283,1134,72,83,2177049,28372
62,369,51,205,74,32,2238696,5174
42,253,872,3487,70,59,2112777,87270
28,166,233,932,64,60,1928580,23364
18,107,10,40,68,87,2045661,1068
76,455,563,2250,69,25,2092875,56369
75,447,723,2891,89,58,2692674,72389
0,2,645,2581,62,32,1860096,64562
11,68,17,68,35,21,1053363,1735
65,389,892,3567,32,69,979707,89232
29,171,529,2115,58,86,1748958,52958
34,201,645,2581,56,5,1690215,64556
1,4,344,1376,26,43,780429,34426
60,359,26,102,76,84,2298252,2676
55,328,96,385,18,87,556761,9618
4,24,738,2954,42,36,1261308,73842
2,12,170,682,6,85,180855,17006
84,504,99,396,76,31,2305293,9976
65,389,281,1122,3,35,109605,28103
85,509,798,3192,21,41,655623,79821
81,489,126,506,48,20,1464360,12648
10,60,14,56,33,73,993219,1433
20,118,372,1490,77,45,2316135,37277
44,267,931,3722,79,38,2383314,93179
37,223,734,2934,63,16,1901148,73463
73,441,136,542,21,84,652152,13621
6,38,714,2856,37,9,1111827,71437
7,43,151,604,34,64,1022292,15134
21,126,116,466,66,22,1986366,11666
70,418,726,2902,73,76,2211228,72673
87,523,231,923,33,86,1016358,23133
90,542,653,2612,7,70,237210,65307
31,188,388,1551,49,89,1479567,38849
39,236,183,730,38,22,1151766,18338
45,272,737,2946,32,66,973698,73732
79,475,525,2102,18,75,563925,52518
1,4,83,332,93,98,2790594,8393
61,365,584,2335,68,60,2058480,58468
8,47,116,466,98,19,2942457,11698
61,365,9,34,44,6,1338318,944
26,154,176,705,39,63,1177989,17639
24,144,156,625,90,48,2707344,15690
99,596,560,2240,58,44,1769832,56058
29,171,895,3582,85,20,2558760,89585
8,47,420,1681,98,3,2942409,42098
77,461,773,3090,23,5,713115,77323
16,99,281,1122,84,5,2524815,28184
99,596,912,3649,43,87,1319961,91243
76,455,984,3934,2,97,83091,98402
38,226,52,207,28,60,851580,5228
54,326,161,643,53,30,1606290,16153
51,307,606,2426,3,42,105426,60603
10,60,336,1343,23,74,693222,33623
46,279,429,1717,62,46,1873938,42962
82,492,344,1376,58,81,1764843,34458
29,171,899,3595,50,8,1508724,89950
23,139,357,1429,45,27,1356981,35745
28,166,562,2248,80,30,2408490,56280
6,38,240,959,6,25,181875,24006
16,99,66,262,28,69,845007,6628
48,288,361,1445,60,52,1814556,36160
47,279,59,235,8,63,254289,5908
0,2,524,2094,52,32,1560096,52452
35,210,669,2677,34,7,1030521,66934
35,210,843,3373,38,51,1150653,84338
95,567,594,2374,18,69,568707,59418
2,12,473,1891,46,0,1380600,47346
99,596,159,636,44,81,1349943,15944
58,350,510,2038,97,45,2927535,51097
45,272,396,1586,35,50,1063650,39635
80,480,661,2642,89,82,2694246,66189
74,441,759,3036,90,96,2722488,75990
89,536,369,1478,46,22,1406766,36946
61,365,595,2382,0,77,18531,59500
83,498,268,1072,48,77,1465131,26848
4,24,702,2806,2,94,61482,70202
13,75,631,2523,15,33,453999,63115
3,16,395,1581,38,67,1141101,39538
97,581,37,148,72,83,2189349,3772
43,261,65,260,67,41,2023023,6567
93,556,813,3252,96,28,2907984,81396
19,113,759,3036,47,44,1415832,75947
32,195,157,626,47,20,1419660,15747
58,350,122,487,26,12,797436,12226
4,24,395,1581,60,75,1801425,39560
15,93,353,1412,35,18,1054554,35335
25,152,201,806,2,11,67533,20102
58,350,972,3888,92,96,2777688,97292
30,182,550,2199,32,11,969033,55032
40,241,799,3194,86,74,2592222,79986
92,555,549,2198,27,84,837852,54927
62,369,225,902,85,37,2568711,22585
60,359,902,3609,2,77,78231,90202
6,38,70,282,24,34,721902,7024
61,365,573,2290,60,3,1818309,57360
72,429,803,3214,27,96,831888,80327
99,596,3,11,70,92,2129976,370
93,556,270,1081,14,28,447984,27014
26,154,846,3383,65,82,1958046,84665
34,201,341,1362,55,6,1660218,34155
97,581,538,2151,43,56,1319268,53843
41,245,191,762,59,77,1782531,19159
61,365,637,2547,67,52,2028456,63767
29,171,856,3423,17,80,518940,85617
15,93,946,3784,30,64,904692,94630
67,404,831,3326,72,76,2180328,83172
28,166,909,3635,3,39,98517,90903
39,236,227,908,19,42,581826,22719
61,365,98,391,17,92,528576,9817
56,334,394,1576,42,79,1277037,39442
15,93,264,1058,13,78,394734,26413
72,429,30,121,73,87,2211861,3073
49,295,331,1325,5,31,164793,33105
26,154,493,1973,73,72,2198016,49373
25,152,493,1973,62,58,1867674,49362
51,307,566,2263,62,56,1875468,56662
38,226,34,137,54,95,1631685,3454
98,586,454,1815,8,87,269661,45408
91,546,649,2597,57,13,1737339,64957
41,245,972,3888,5,79,162537,97205
20,118,942,3770,50,97,1506291,94250
27,161,603,2414,74,47,2228241,60374
69,411,843,3373,54,58,1640874,84354
12,75,840,3362,81,53,2433759,84081
50,297,362,1449,32,21,975063,36232
70,418,42,166,26,18,801054,4226
40,241,736,2946,99,7,2982021,73699
11,68,468,1870,39,61,1173483,46839
86,514,398,1594,69,94,2096082,39869
77,461,518,2071,33,13,1013139,51833
64,381,393,1573,29,20,889260,39329
80,480,879,3516,56,72,1704216,87956
59,356,633,2534,32,81,977943,63332
6,38,24,96,22,77,662031,2422
36,214,161,643,57,22,1720866,16157
7,43,519,2078,55,85,1652355,51955
77,461,657,2627,71,49,2153247,65771
96,573,655,2619,3,85,119055,65503
2,12,724,2895,35,92,1050876,72435
56,334,52,207,30,74,917022,5230
2,12,988,3954,80,66,2400798,98880
16,99,954,3814,29,30,874890,95429
93,556,933,3734,65,72,1978116,93365
11,68,960,3841,25,46,753438,96025
86,514,280,1119,45,44,1375932,28045
33,199,959,3837,17,96,520188,95917
71,429,432,1727,84,86,2541558,43284
35,210,754,3016,9,10,280530,75409
26,154,786,3145,23,8,697824,78623
44,267,197,789,5,87,163461,19705
45,272,305,1218,34,73,1033719,30534
7,43,15,59,81,64,2432292,1581
24,144,988,3954,79,32,2377296,98879
93,556,333,1333,84,39,2548017,33384
50,297,458,1830,88,67,2655201,45888
91,546,823,3294,2,83,87549,82302
39,236,707,2829,52,72,1571916,70752
95,567,976,3902,74,47,2248641,97674
36,214,651,2606,45,86,1361058,65145
92,555,847,3390,54,51,1647753,84754
17,100,233,932,35,77,1055331,23335
42,253,187,748,88,84,2652852,18788
53,319,236,943,49,55,1486065,23649
21,126,234,934,79,80,2376540,23479
10,60,901,3605,18,38,543114,90118
7,43,738,2954,26,50,782250,73826
81,489,649,2597,33,1,1014303,64933
55,328,963,3851,99,78,2986734,96399
93,556,665,2658,24,96,748188,66524
75,447,906,3626,43,42,1312626,90643
1,4,202,807,73,23,2190369,20273
22,134,691,2763,3,83,96849,69103
77,461,563,2250,6,89,203367,56306
80,480,52,207,41,33,1254099,5241
43,261,696,2786,97,40,2923020,69697
88,526,671,2682,86,91,2606673,67186
52,312,341,1362,35,14,1065642,34135
51,307,183,730,43,71,1305513,18343
33,199,918,3672,66,13,1989939,91866
63,381,584,2335,56,94,1699182,58456
42,253,906,3626,18,95,552885,90618
70,418,423,1694,92,67,2781201,42392
8,47,350,1398,49,1,1472403,35049
12,75,495,1980,22,49,663747,49522
89,536,478,1910,18,83,566949,47818
58,350,908,3631,66,44,1997532,90866
15,93,85,338,29,46,874638,8529
72,429,850,3399,78,8,2361624,85078
43,261,165,660,82,42,2473026,16582
52,312,882,3529,33,4,1005612,88233
59,356,93,371,15,5,467715,9315
82,492,818,3270,68,52,2064756,81868
36,214,18,73,10,42,310926,1810
97,581,973,3894,8,90,269370,97308
9,57,901,3605,56,76,1682928,90156
82,492,768,3071,79,89,2394867,76879
2,12,321,1282,48,88,1440864,32148
6,38,567,2268,60,0,1801800,56760
36,214,883,3531,1,49,40947,88301
2,12,768,3071,12,2,360606,76812
62,369,515,2058,17,39,528717,51517
77,461,247,987,21,94,653382,24721
12,75,483,1932,68,12,2043636,48368
75,447,742,2969,48,38,1462614,74248
42,253,977,3906,99,72,2982816,97799
57,340,657,2627,21,20,647160,65721
97,581,780,3121,88,29,2669187,78088
38,226,830,3319,48,35,1451505,83048
1,4,942,3770,63,22,1890366,94263
44,267,209,838,58,93,1753479,20958
19,113,748,2993,53,27,1595781,74853
61,365,218,870,96,42,2898426,21896
3,16,575,2299,46,39,1381017,57546
23,139,456,1823,24,40,727020,45624
47,279,383,1533,37,45,1124235,38337
47,279,881,3525,99,44,2984232,88199
69,411,787,3148,31,97,950991,78731
78,468,355,1419,11,59,353577,35511
75,447,905,3620,6,19,202557,90506
70,418,322,1289,78,78,2361234,32278
83,498,585,2338,4,45,145035,58504
65,389,489,1958,95,22,2869566,48995
59,356,934,3735,46,61,1397883,93446
85,509,878,3510,44,62,1345686,87844
85,509,251,1003,69,64,2095692,25169
81,489,419,1674,18,34,564402,41918
31,188,456,1823,28,61,849483,45628
26,154,750,3002,5,58,157974,75005
63,381,506,2022,10,86,319158,50610
3,16,23,90,17,70,511110,2317
48,288,685,2741,28,7,854421,68528
66,398,481,1926,10,85,320055,48110
99,596,412,1646,1,42,59826,41201
81,489,343,1370,40,31,1224393,34340
2,12,269,1075,3,89,90867,26903
91,546,995,3981,69,81,2097543,99569
38,226,900,3601,18,76,551628,90018
17,100,228,910,29,66,875298,22829
26,154,543,2170,57,84,1718052,54357
11,68,321,1282,22,29,663387,32122
84,504,718,2871,50,33,1525299,71850
73,441,710,2840,53,8,1611924,71053
19,113,831,3326,63,94,1895982,83163
37,223,487,1947,33,37,1001211,48733
53,319,134,536,27,11,825933,13427
11,68,279,1115,82,42,2463426,27982
52,312,131,526,35,41,1065723,13135
63,381,41,163,17,18,528954,4117
73,441,478,1910,62,24,1881972,47862
98,586,444,1777,63,19,1919457,44463
96,573,525,2102,17,26,538878,52517
80,480,430,1721,82,2,2484006,43082
18,107,148,593,0,23,5469,14800
31,188,709,2836,93,37,2799411,70993
50,297,283,1134,39,30,1185090,28339
47,279,611,2445,21,81,644343,61121
98,586,932,3730,69,92,2099676,93269
87,523,152,610,40,48,1226244,15240
44,267,564,2257,18,98,553494,56418
8,47,865,3459,16,75,482625,86516
30,182,7,30,41,84,1239252,741
54,326,745,2980,7,15,226245,74507
20,118,0,2,73,78,2196234,73
31,188,987,3949,96,42,2889426,98796
2,12,127,507,10,2,300606,12710
53,319,235,939,72,28,2175984,23572
17,100,101,405,17,91,515373,10117
11,68,196,786,68,89,2043567,19668
92,555,824,3297,48,9,1467627,82448
32,195,565,2262,45,25,1359675,56545
25,152,534,2137,34,22,1027566,53434
96,573,651,2606,60,31,1828893,65160
62,369,941,3763,51,87,1548861,94151
98,586,771,3085,26,98,809694,77126
13,75,818,3270,28,1,843903,81828
10,60,188,753,10,60,303180,18810
26,154,958,3834,34,18,1027854,95834
95,567,202,807,45,2,1378506,20245
27,161,729,2917,60,90,1808370,72960
23,139,282,1128,57,22,1716966,28257
44,267,967,3870,10,84,313452,96710
8,47,458,1830,66,71,1982613,45866
51,307,98,391,8,89,255567,9808
69,411,254,1017,33,15,1010745,25433
52,312,134,536,7,58,225774,13407
44,267,687,2749,96,42,2893326,68796
3,16,908,3631,50,14,1500942,90850
8,47,136,542,33,99,992697,13633
72,429,706,2825,62,72,1881816,70662
50,297,569,2274,52,44,1575132,56952
37,223,796,3183,0,30,11190,79600
37,223,541,2166,0,42,11226,54100
11,68,625,2499,13,96,393588,62513
26,154,804,3215,79,77,2378031,80479
59,356,332,1326,97,87,2927961,33297
23,139,806,3222,82,14,2466942,80682
73,441,79,318,30,49,922047,7930
80,480,803,3214,92,70,2784210,80392
83,498,728,2913,89,24,2694972,72889
28,166,228,910,29,84,878652,22829
58,350,852,3409,56,8,1697424,85256
68,409,100,402,95,10,2870430,10095
75,447,76,305,87,40,2632620,7687
18,107,119,474,11,53,335559,11911
90,542,196,786,48,74,1467222,19648
77,461,143,570,59,25,1793175,14359
63,381,601,2403,96,32,2898996,60196
49,295,955,3818,90,73,2714919,95590
38,226,757,3028,56,43,1691529,75756
31,188,99,396,48,85,1449555,9948
46,279,577,2306,35,92,1064076,57735
66,398,860,3440,71,32,2149896,86071
34,201,405,1621,36,79,1090437,40536
19,113,197,789,56,84,1685952,19756
65,389,566,2263,11,12,349536,56611
3,16,342,1366,35,68,1051104,34235
95,567,198,791,85,72,2578716,19885
40,241,183,730,63,50,1902150,18363
66,398,544,2177,74,91,2240073,54474
31,188,12,46,69,85,2079555,1269
36,214,489,1958,3,74,101022,48903
74,441,424,1698,67,48,2032344,42467
44,267,694,2776,94,3,2833209,69494
63,381,301,1204,85,89,2569167,30185
46,279,339,1355,36,70,1094010,33936
97,581,214,854,61,35,1859205,21461
54,326,498,1993,67,31,2026293,49867
59,356,407,1628,91,42,2747826,40791
24,144,240,959,72,75,2167425,24072
87,523,298,1194,59,87,1796361,29859
92,555,600,2402,26,30,807690,60026
84,504,590,2358,81,19,2455257,59081
6,38,986,3944,90,21,2701863,98690
22,134,727,2910,83,21,2496663,72783
36,214,717,2870,76,50,2290950,71776
98,586,853,3414,21,79,659637,85321
97,581,213,853,74,39,2249217,21374
10,60,163,654,6,22,183066,16306
75,447,963,3851,28,15,862545,96328
56,334,186,746,60,31,1816893,18660
98,586,223,891,2,5,89415,22302
99,596,852,3409,55,55,1679865,85255
16,99,400,1601,7,39,214917,40007
55,328,654,2617,68,19,2056557,65468
89,536,281,1122,87,0,2636700,28187
17,100,791,3162,10,56,305268,79110
78,468,644,2575,33,64,1013592,64433
65,389,488,1952,18,3,559509,48818
77,461,243,971,54,77,1643331,24354
88,526,123,493,55,19,1676457,12355
39,236,152,610,72,6,2171718,15272
53,319,991,3965,2,31,75993,99102
3,16,773,3090,77,31,2310993,77377
59,356,745,2980,98,93,2957979,74598
47,279,168,670,36,50,1094250,16836
19,113,531,2124,38,60,1145880,53138
9,57,513,2050,7,45,212835,51307
91,546,870,3482,51,24,1557372,87051
23,139,573,2290,33,31,996993,57333
62,369,812,3248,48,20,1458660,81248
36,214,844,3377,92,25,2770875,84492
85,509,335,1339,92,53,2785659,33592
88,526,404,1615,3,29,116487,40403
39,236,287,1147,34,2,1031706,28734
39,236,617,2470,80,59,2411877,61780
32,195,556,2226,27,28,819684,55627
42,253,55,221,25,41,762723,5525
11,68,920,3678,98,42,2943426,92098
92,555,56,224,39,3,1197609,5639
7,43,686,2745,73,56,2192268,68673
62,369,270,1081,72,95,2178885,27072
5,29,723,2891,93,80,2791740,72393
91,546,752,3007,83,60,2517480,75283
63,381,888,3551,79,56,2389068,88879
74,441,517,2068,83,74,2512422,51783
73,441,617,2470,56,6,1701918,61756
51,307,344,1376,41,61,1245483,34441
14,86,280,1119,4,90,124470,28004
23,139,1,3,75,74,2257122,175
12,75,204,815,71,55,2133765,20471
3,16,292,1170,59,13,1770939,29259
17,100,873,3491,69,76,2075328,87369
93,556,137,550,60,10,1827930,13760
42,253,217,866,36,89,1092867,21736
48,288,888,3551,18,32,554496,88818
50,297,778,3112,26,17,795051,77826
82,492,900,3601,58,42,1764726,90058
24,144,216,866,6,46,187338,21606
24,144,505,2022,42,25,1267275,50542
59,356,740,2960,55,20,1667760,74055
39,236,742,2969,99,50,2981850,74299
41,245,393,1573,83,58,2502474,39383
81,489,264,1058,13,90,414570,26413
87,523,980,3919,28,55,866265,98028
71,429,643,2570,44,54,1341462,64344
92,555,963,3851,35,13,1077639,96335
37,223,794,3177,13,43,401229,79413
74,441,621,2482,84,0,2542200,62184
70,418,854,3414,48,39,1461117,85448
32,195,126,506,88,36,2649708,12688
36,214,99,396,82,52,2470956,9982
46,279,592,2368,52,48,1573944,59252
84,504,899,3595,72,83,2185449,89972
12,75,878,3510,36,17,1083651,87836
36,214,6,23,81,6,2440818,681
27,161,388,1551,78,13,2348139,38878
91,546,561,2242,13,40,417420,56113
74,441,764,3055,94,66,2842398,76494
73,441,182,729,95,58,2872074,18295
83,498,89,358,68,55,2065065,8968
58,350,111,445,4,70,137610,11104
98,586,26,102,36,48,1109544,2636
90,542,701,2803,88,92,2667276,70188
21,126,919,3675,81,45,2436435,91981
4,24,377,1507,29,5,871215,37729
42,253,769,3075,40,76,1212828,76940
25,152,829,3315,31,68,937704,82931
65,389,778,3112,89,63,2689689,77889
19,113,503,2013,84,91,2525973,50384
16,99,707,2829,66,89,1985067,70766
97,581,691,2763,1,44,59232,69101
91,546,842,3366,60,34,1827402,84260
44,267,79,318,93,0,2803200,7993
46,279,275,1099,49,26,1483878,27549
54,326,442,1767,74,1,2236203,44274
68,409,715,2859,28,17,860451,71528
29,171,469,1874,68,25,2048775,46968
27,161,412,1646,33,92,998376,41233
14,86,510,2038,92,97,2764491,51092
78,468,23,90,18,30,563490,2318
3,16,485,1940,96,30,2880990,48596
30,182,758,3030,50,64,1509192,75850
70,418,132,527,46,10,1401030,13246
79,475,547,2189,30,56,923868,54730
8,47,407,1628,97,40,2912520,40797
86,514,501,2003,8,88,266064,50108
3,16,426,1702,36,78,1081134,42636
0,2,582,2329,96,60,2880180,58296
30,182,589,2355,87,59,2619177,58987
27,161,622,2488,15,20,458160,62215
32,195,627,2510,90,38,2709714,62790
51,307,505,2022,69,65,2085495,50569
74,441,808,3234,99,82,2992446,80899
74,441,356,1422,64,44,1942332,35664
82,492,829,3315,67,9,2034627,82967
44,267,952,3810,81,16,2443248,95281
35,210,928,3713,17,57,520671,92817
88,526,845,3379,54,31,1646493,84554
78,468,604,2415,38,1,1163403,60438
34,201,823,3294,54,70,1630410,82354
49,295,965,3862,36,67,1094901,96536
61,365,285,1142,87,50,2628450,28587
14,86,439,1754,70,68,2104404,43970
19,113,643,2570,88,10,2645730,64388
86,514,254,1017,26,93,806079,25426
3,16,972,3888,46,62,1381086,97246
13,75,13,53,35,71,1054113,1335
99,596,885,3542,15,12,479736,88515
88,526,24,96,96,48,2906544,2496
32,195,113,452,57,81,1719843,11357
13,75,957,3826,4,13,123939,95704
65,389,786,3145,39,4,1189512,78639
52,312,184,736,81,35,2445705,18481
21,126,39,154,95,98,2856594,3995
74,441,873,3491,87,80,2632440,87387
99,596,324,1297,49,85,1499955,32449
30,182,187,748,88,94,2649282,18788
8,47,299,1198,42,80,1262640,29942
70,418,635,2539,23,50,711150,63523
10,60,540,2159,42,71,1263213,54042
71,429,29,118,7,26,231378,2907
8,47,500,2001,62,23,1862469,50062
26,154,974,3894,46,1,1387803,97446
53,319,872,3487,44,88,1336164,87244
20,118,585,2338,79,79,2376237,58579
45,272,185,739,49,95,1483785,18549
28,166,315,1260,48,9,1448427,31548
57,340,555,2219,17,52,527256,55517
61,365,838,3351,92,18,2778354,83892
70,418,532,2127,81,38,2451114,53281
83,498,899,3595,99,47,2995041,89999
17,100,741,2965,43,91,1295373,74143
15,93,522,2088,33,19,994557,52233
31,188,710,2840,51,83,1539549,71051
38,226,419,1674,49,13,1481439,41949
65,389,504,2015,44,29,1339587,50444
1,4,653,2612,85,79,2550537,65385
51,307,130,521,36,69,1095507,13036
51,307,344,1376,19,77,585531,34419
96,573,863,3451,30,64,928992,86330
37,223,524,2094,9,91,281373,52409
70,418,80,321,60,6,1821018,8060
24,144,195,781,20,36,607308,19520
94,566,463,1854,65,65,1978395,46365
14,86,738,2954,36,53,1084359,73836
46,279,178,712,22,5,673815,17822
9,57,903,3610,27,93,812979,90327
7,43,536,2143,86,20,2582160,53686
43,261,965,3862,98,75,2953125,96598
4,24,748,2993,10,87,301461,74810
61,365,745,2980,28,59,858477,74528
66,398,264,1058,76,42,2299926,26476
87,523,536,2143,60,49,1826247,53660
79,475,512,2050,51,33,1553799,51251
66,398,708,2831,68,25,2059875,70868
46,279,898,3592,15,88,464064,89815
60,359,599,2397,39,35,1188105,59939
10,60,647,2590,94,94,2823282,64794
48,288,250,998,47,74,1424622,25047
95,567,132,527,86,7,2608521,13286
36,214,857,3428,44,8,1330824,85744
5,29,526,2106,16,35,481605,52616
35,210,524,2094,42,88,1270764,52442
16,99,307,1226,69,68,2075004,30769
56,334,79,318,22,39,676917,7922
52,312,622,2488,76,34,2295702,62276
0,2,830,3319,33,59,990177,83033
86,514,241,965,0,13,25839,24100
82,492,214,854,48,95,1464885,21448
41,245,838,3351,17,3,522309,83817
2,12,743,2970,60,8,1800624,74360
73,441,474,1895,75,40,2272020,47475
16,99,405,1621,83,88,2495064,40583
42,253,763,3053,71,8,2142624,76371
97,581,795,3182,48,91,1469373,79548
71,429,987,3949,82,29,2481387,98782
98,586,547,2189,82,10,2489430,54782
